Clock frequency is approx. 2250.0 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
512m	15144	9932	7350	5411	3723	2818	2421	2100	1949	1826	1688	1674	1650	1624	1618	1519	1515	1538	1487	1478	1504	1540	1565	1530	1526	1532	1527	1518	1535	1533	1539	1570	
256m	15830	9960	7374	5453	3733	2885	2420	2002	1829	1738	1689	1625	1570	1574	1578	1575	1581	1574	1572	1570	1569	1571	1570	1568	1577	1574	1566	1563	1575	1577	1574	1590	
128m	15548	9825	7255	5306	3670	2849	2370	2076	1917	1798	1733	1659	1628	1606	1602	1582	1580	1569	1564	1568	1572	1570	1548	1527	1527	1532	1529	1522	1519	1529	1537	1545	
64m	15360	9578	7162	5375	3649	2855	2369	2078	1926	1808	1738	1666	1647	1610	1607	1584	1591	1558	1567	1567	1558	1614	1773	2070	2200	2469	2711	3151	3611	4465	5354	1586	
32m	15452	9573	7106	5439	3544	2800	2306	2020	1875	1770	1718	1690	1707	1743	1821	1603	2147	2952	3542	4261	4771	7638	10156	10582	10615	10593	10543	10598	10563	10498	9976	1558	
16m	26137	17671	13421	10985	9020	7588	6742	5942	6112	6274	6521	6747	6903	7366	7823	5284	8432	8891	8982	9210	9602	10258	10819	11131	11153	11147	11214	11219	11249	11245	10635	5010	
8m	42160	31744	23537	17869	14540	12115	10605	9266	9370	9486	9264	9132	8820	8856	8882	8579	9036	9358	11260	11299	11335	11399	11451	11422	11464	11417	11335	11370	11520	11531	10708	7520	
4m	42909	31394	23721	18123	14738	12417	10727	9455	10989	10928	10904	10984	11008	10978	10944	10188	10936	10743	9511	9651	9888	10735	11045	11768	11382	11827	11314	11795	11759	11700	11108	7607	
2m	43864	30589	23689	18224	14727	12430	10950	9560	11149	11014	10826	11231	9022	8991	8945	9009	9324	9725	9665	9864	10392	11639	12422	12256	11916	11775	12528	11612	11552	12417	12412	7638	
1024k	44225	31489	23940	18142	15219	12831	11171	9457	11345	11287	11228	12103	11490	11630	11555	10762	11682	11445	12543	11624	12577	12576	12770	12555	12945	11690	12734	12913	12913	13340	12910	7972	
512k	44850	38723	29272	21278	17563	14396	13003	11108	11986	12250	13094	13121	13311	13424	13443	11378	11862	13485	13462	13445	13423	13466	13486	13485	13532	13443	13485	13473	13389	13443	13422	11301	
256k	46152	43691	35812	26859	21577	18054	15410	13540	13485	13445	13540	13485	13531	13473	13443	13538	13526	13613	13657	13515	13568	13699	13568	14371	13621	13624	13485	13572	13496	13653	13427	13213	
128k	46152	43977	35514	27076	21660	18204	15603	13543	13607	13515	13540	13652	13624	13572	13653	13653	13532	13483	13531	13380	13567	13539	13567	13652	15418	13633	23139	13383	16139	36408	35233	13222	
64k	45511	43116	35825	26869	21495	18203	15603	13425	13483	13652	13539	13652	13633	14194	33665	13653	38550	40545	38417	40950	39000	37225	40830	39124	32762	31500	34782	33535	45382	31101	42469	12800	
32k	50430	46841	45508	43065	40956	42080	39008	37312	36400	40950	37225	34125	42000	39000	36400	34133	38712	30333	28733	32906	31339	37225	35600	27179	32750	31500	30325	29250	28225	36672	52850	25600	
16k	51200	48251	45508	45624	40950	45500	39000	34133	36562	32906	37225	27422	25312	29250	36672	20571	48150	22750	21550	27504	39000	24618	35600	34100	32750	31500	20351	29250	28200	27300	26400	17194	
